"Other effects of air pressure and water pressure, sequela",T708
"Disruption of traumatic injury wound repair, subsequent encounter",T813
"Disruption of traumatic injury wound repair, sequela",T813
"Infection following a procedure, initial encounter",T814
"Infection following a procedure, subsequent encounter",T814
"Infection following a procedure, sequela",T814
"Unspecified complication of foreign body accidentally left in body following surgical operation, initial encounter",T815
"Unspecified complication of foreign body accidentally left in body following surgical operation, subsequent encounter",T815
"Unspecified complication of foreign body accidentally left in body following surgical operation, sequela",T815
"Unspecified complication of foreign body accidentally left in body following infusion or transfusion, initial encounter",T815
"Unspecified complication of foreign body accidentally left in body following infusion or transfusion, subsequent encounter",T815
"Unspecified complication of foreign body accidentally left in body following infusion or transfusion, sequela",T815
"Unspecified complication of foreign body accidentally left in body following kidney dialysis, initial encounter",T815
"Unspecified complication of foreign body accidentally left in body following kidney dialysis, subsequent encounter",T815
"Unspecified complication of foreign body accidentally left in body following kidney dialysis, sequela",T815
"Unspecified complication of foreign body accidentally left in body following injection or immunization, initial encounter",T815
"Unspecified complication of foreign body accidentally left in body following injection or immunization, subsequent encounter",T815
"Unspecified complication of foreign body accidentally left in body following injection or immunization, sequela",T815
"Unspecified complication of foreign body accidentally left in body following endoscopic examination, initial encounter",T815
"Unspecified complication of foreign body accidentally left in body following endoscopic examination, subsequent encounter",T815
"Unspecified complication of foreign body accidentally left in body following endoscopic examination, sequela",T815
"Unspecified complication of foreign body accidentally left in body following heart catheterization, initial encounter",T815
"Unspecified complication of foreign body accidentally left in body following heart catheterization, subsequent encounter",T815
"Unspecified complication of foreign body accidentally left in body following heart catheterization, sequela",T815
"Unspecified complication of foreign body accidentally left in body following aspiration, puncture or other catheterization, initial encounter",T815
"Unspecified complication of foreign body accidentally left in body following aspiration, puncture or other catheterization, subsequent encounter",T815
"Unspecified complication of foreign body accidentally left in body following aspiration, puncture or other catheterization, sequela",T815
"Unspecified complication of foreign body accidentally left in body following removal of catheter or packing, initial encounter",T815
"Unspecified complication of foreign body accidentally left in body following removal of catheter or packing, subsequent encounter",T815
"Unspecified complication of foreign body accidentally left in body following removal of catheter or packing, sequela",T815
"Unspecified complication of foreign body accidentally left in body following other procedure, initial encounter",T815
"Unspecified complication of foreign body accidentally left in body following other procedure, subsequent encounter",T815
"Unspecified complication of foreign body accidentally left in body following other procedure, sequela",T815
"Unspecified complication of foreign body accidentally left in body following unspecified procedure, initial encounter",T815
"Unspecified complication of foreign body accidentally left in body following unspecified procedure, subsequent encounter",T815
"Unspecified complication of foreign body accidentally left in body following unspecified procedure, sequela",T815
"Adhesions due to foreign body accidentally left in body following surgical operation, initial encounter",T815
"Adhesions due to foreign body accidentally left in body following surgical operation, subsequent encounter",T815
"Adhesions due to foreign body accidentally left in body following surgical operation, sequela",T815
"Adhesions due to foreign body accidentally left in body following infusion or transfusion, initial encounter",T815
"Adhesions due to foreign body accidentally left in body following infusion or transfusion, subsequent encounter",T815
"Adhesions due to foreign body accidentally left in body following infusion or transfusion, sequela",T815
"Adhesions due to foreign body accidentally left in body following kidney dialysis, initial encounter",T815
"Adhesions due to foreign body accidentally left in body following kidney dialysis, subsequent encounter",T815
"Adhesions due to foreign body accidentally left in body following kidney dialysis, sequela",T815
"Adhesions due to foreign body accidentally left in body following injection or immunization, initial encounter",T815
"Adhesions due to foreign body accidentally left in body following injection or immunization, subsequent encounter",T815
"Adhesions due to foreign body accidentally left in body following injection or immunization, sequela",T815
"Adhesions due to foreign body accidentally left in body following endoscopic examination, initial encounter",T815
"Adhesions due to foreign body accidentally left in body following endoscopic examination, subsequent encounter",T815
"Adhesions due to foreign body accidentally left in body following endoscopic examination, sequela",T815
"Adhesions due to foreign body accidentally left in body following heart catheterization, initial encounter",T815
"Adhesions due to foreign body accidentally left in body following heart catheterization, subsequent encounter",T815
"Adhesions due to foreign body accidentally left in body following heart catheterization, sequela",T815
"Adhesions due to foreign body accidentally left in body following aspiration, puncture or other catheterization, initial encounter",T815
"Adhesions due to foreign body accidentally left in body following aspiration, puncture or other catheterization, subsequent encounter",T815
"Adhesions due to foreign body accidentally left in body following aspiration, puncture or other catheterization, sequela",T815
"Adhesions due to foreign body accidentally left in body following removal of catheter or packing, initial encounter",T815
"Adhesions due to foreign body accidentally left in body following removal of catheter or packing, subsequent encounter",T815
"Adhesions due to foreign body accidentally left in body following removal of catheter or packing, sequela",T815
"Adhesions due to foreign body accidentally left in body following other procedure, initial encounter",T815
"Adhesions due to foreign body accidentally left in body following other procedure, subsequent encounter",T815
"Adhesions due to foreign body accidentally left in body following other procedure, sequela",T815
"Adhesions due to foreign body accidentally left in body following unspecified procedure, initial encounter",T815
"Adhesions due to foreign body accidentally left in body following unspecified procedure, subsequent encounter",T815
"Adhesions due to foreign body accidentally left in body following unspecified procedure, sequela",T815
"Obstruction due to foreign body accidentally left in body following surgical operation, initial encounter",T815
"Obstruction due to foreign body accidentally left in body following surgical operation, subsequent encounter",T815
"Obstruction due to foreign body accidentally left in body following surgical operation, sequela",T815
"Obstruction due to foreign body accidentally left in body following infusion or transfusion, initial encounter",T815
"Obstruction due to foreign body accidentally left in body following infusion or transfusion, subsequent encounter",T815
"Obstruction due to foreign body accidentally left in body following infusion or transfusion, sequela",T815
"Obstruction due to foreign body accidentally left in body following kidney dialysis, initial encounter",T815
"Obstruction due to foreign body accidentally left in body following kidney dialysis, subsequent encounter",T815
"Obstruction due to foreign body accidentally left in body following kidney dialysis, sequela",T815
"Obstruction due to foreign body accidentally left in body following injection or immunization, initial encounter",T815
"Obstruction due to foreign body accidentally left in body following injection or immunization, subsequent encounter",T815
"Obstruction due to foreign body accidentally left in body following injection or immunization, sequela",T815
"Obstruction due to foreign body accidentally left in body following endoscopic examination, initial encounter",T815
