Unspecified maternal infectious and parasitic disease complicating the puerperium,O989
"Congenital malformation of anterior segment of eye, unspecified",Q139
Congenital malformation of vitreous humor,Q140
Congenital malformation of retina,Q141
Congenital malformation of optic disc,Q142
Congenital malformation of choroid,Q143
Other congenital malformations of posterior segment of eye,Q148
"Congenital malformation of posterior segment of eye, unspecified",Q149
Congenital glaucoma,Q150
Other specified congenital malformations of eye,Q158
"Congenital malformation of eye, unspecified",Q159
Congenital absence of (ear) auricle,Q160
"Congenital absence, atresia and stricture of auditory canal (external)",Q161
Absence of eustachian tube,Q162
Congenital malformation of ear ossicles,Q163
Other congenital malformations of middle ear,Q164
Congenital malformation of inner ear,Q165
"Congenital malformation of ear causing impairment of hearing, unspecified",Q169
Accessory auricle,Q170
Macrotia,Q171
Microtia,Q172
Other misshapen ear,Q173
Misplaced ear,Q174
Prominent ear,Q175
Other specified congenital malformations of ear,Q178
"Congenital malformation of ear, unspecified",Q179
"Sinus, fistula and cyst of branchial cleft",Q180
Preauricular sinus and cyst,Q181
Other branchial cleft malformations,Q182
Webbing of neck,Q183
Macrostomia,Q184
Microstomia,Q185
Macrocheilia,Q186
Microcheilia,Q187
Other specified congenital malformations of face and neck,Q188
"Congenital malformation of face and neck, unspecified",Q189
Common arterial trunk,Q200
Double outlet right ventricle,Q201
Double outlet left ventricle,Q202
Discordant ventriculoarterial connection,Q203
Double inlet ventricle,Q204
Discordant atrioventricular connection,Q205
Isomerism of atrial appendages,Q206
Other congenital malformations of cardiac chambers and connections,Q208
"Congenital malformation of cardiac chambers and connections, unspecified",Q209
Ventricular septal defect,Q210
Atrial septal defect,Q211
Atrioventricular septal defect,Q212
Tetralogy of Fallot,Q213
Aortopulmonary septal defect,Q214
Other congenital malformations of cardiac septa,Q218
"Congenital malformation of cardiac septum, unspecified",Q219
Pulmonary valve atresia,Q220
Congenital pulmonary valve stenosis,Q221
Congenital pulmonary valve insufficiency,Q222
Other congenital malformations of pulmonary valve,Q223
Congenital tricuspid stenosis,Q224
Ebstein's anomaly,Q225
Hypoplastic right heart syndrome,Q226
Other congenital malformations of tricuspid valve,Q228
"Congenital malformation of tricuspid valve, unspecified",Q229
Congenital stenosis of aortic valve,Q230
Congenital insufficiency of aortic valve,Q231
Congenital mitral stenosis,Q232
Congenital mitral insufficiency,Q233
Hypoplastic left heart syndrome,Q234
Other congenital malformations of aortic and mitral valves,Q238
"Congenital malformation of aortic and mitral valves, unspecified",Q239
Dextrocardia,Q240
Levocardia,Q241
Cor triatriatum,Q242
Pulmonary infundibular stenosis,Q243
Congenital subaortic stenosis,Q244
Malformation of coronary vessels,Q245
Congenital heart block,Q246
Other specified congenital malformations of heart,Q248
"Congenital malformation of heart, unspecified",Q249
Patent ductus arteriosus,Q250
Coarctation of aorta,Q251
Atresia of aorta,Q252
Supravalvular aortic stenosis,Q253
Other congenital malformations of aorta,Q254
Atresia of pulmonary artery,Q255
Stenosis of pulmonary artery,Q256
Coarctation of pulmonary artery,Q257
Congenital pulmonary arteriovenous malformation,Q257
Other congenital malformations of pulmonary artery,Q257
Other congenital malformations of other great arteries,Q258
"Congenital malformation of great arteries, unspecified",Q259
Congenital stenosis of vena cava,Q260
Persistent left superior vena cava,Q261
Total anomalous pulmonary venous connection,Q262
Partial anomalous pulmonary venous connection,Q263
"Anomalous pulmonary venous connection, unspecified",Q264
Anomalous portal venous connection,Q265
Portal vein-hepatic artery fistula,Q266
Other congenital malformations of great veins,Q268
"Congenital malformation of great vein, unspecified",Q269
Congenital absence and hypoplasia of umbilical artery,Q270
Congenital renal artery stenosis,Q271
Other congenital malformations of renal artery,Q272
"Arteriovenous malformation, site unspecified",Q273
Arteriovenous malformation of vessel of upper limb,Q273
Arteriovenous malformation of vessel of lower limb,Q273
Arteriovenous malformation of digestive system vessel,Q273
Arteriovenous malformation of renal vessel,Q273
"Arteriovenous malformation, other site",Q273
Congenital phlebectasia,Q274
Other specified congenital malformations of peripheral vascular system,Q278
"Congenital malformation of peripheral vascular system, unspecified",Q279
Arteriovenous malformation of precerebral vessels,Q280
Other malformations of precerebral vessels,Q281
Arteriovenous malformation of cerebral vessels,Q282
Other malformations of cerebral vessels,Q283
Other specified congenital malformations of circulatory system,Q288
"Congenital malformation of circulatory system, unspecified",Q289
Choanal atresia,Q300
Agenesis and underdevelopment of nose,Q301
"Fissured, notched and cleft nose",Q302
Congenital perforated nasal septum,Q303
Other congenital malformations of nose,Q308
"Congenital malformation of nose, unspecified",Q309
Web of larynx,Q310
Congenital subglottic stenosis,Q311
Laryngeal hypoplasia,Q312
Laryngocele,Q313
Congenital laryngomalacia,Q315
Other congenital malformations of larynx,Q318
"Congenital malformation of larynx, unspecified",Q319
Congenital tracheomalacia,Q320
Other congenital malformations of trachea,Q321
Congenital bronchomalacia,Q322
Congenital stenosis of bronchus,Q323
Other congenital malformations of bronchus,Q324
Congenital cystic lung,Q330
Accessory lobe of lung,Q331
Sequestration of lung,Q332
Agenesis of lung,Q333
Congenital bronchiectasis,Q334
Ectopic tissue in lung,Q335
Congenital hypoplasia and dysplasia of lung,Q336
Other congenital malformations of lung,Q338
"Congenital malformation of lung, unspecified",Q339
Anomaly of pleura,Q340
Congenital cyst of mediastinum,Q341
Other specified congenital malformations of respiratory system,Q348
"Congenital malformation of respiratory system, unspecified",Q349
Cleft hard palate,Q351
Cleft soft palate,Q353
Cleft hard palate with cleft soft palate,Q355
Cleft uvula,Q357
"Cleft palate, unspecified",Q359
"Cleft lip, bilateral",Q360
"Cleft lip, median",Q361
"Cleft lip, unilateral",Q369
Cleft hard palate with bilateral cleft lip,Q370
Cleft hard palate with unilateral cleft lip,Q371
Cleft soft palate with bilateral cleft lip,Q372
Cleft soft palate with unilateral cleft lip,Q373
Cleft hard and soft palate with bilateral cleft lip,Q374
Cleft hard and soft palate with unilateral cleft lip,Q375
Unspecified cleft palate with bilateral cleft lip,Q378
Unspecified cleft palate with unilateral cleft lip,Q379
"Congenital malformations of lips, not elsewhere classified",Q380
Ankyloglossia,Q381
Macroglossia,Q382
Other congenital malformations of tongue,Q383
Congenital malformations of salivary glands and ducts,Q384
"Congenital malformations of palate, not elsewhere classified",Q385
Other congenital malformations of mouth,Q386
Congenital pharyngeal pouch,Q387
Other congenital malformations of pharynx,Q388
Atresia of esophagus without fistula,Q390
Atresia of esophagus with tracheo-esophageal fistula,Q391
Congenital tracheo-esophageal fistula without atresia,Q392
Congenital stenosis and stricture of esophagus,Q393
Esophageal web,Q394
Congenital dilatation of esophagus,Q395
Congenital diverticulum of esophagus,Q396
Other congenital malformations of esophagus,Q398
"Congenital malformation of esophagus, unspecified",Q399
Congenital hypertrophic pyloric stenosis,Q400
Congenital hiatus hernia,Q401
Other specified congenital malformations of stomach,Q402
"Congenital malformation of stomach, unspecified",Q403
Other specified congenital malformations of upper alimentary tract,Q408
"Congenital malformation of upper alimentary tract, unspecified",Q409
"Congenital absence, atresia and stenosis of duodenum",Q410
"Congenital absence, atresia and stenosis of jejunum",Q411
"Congenital absence, atresia and stenosis of ileum",Q412
"Congenital absence, atresia and stenosis of other specified parts of small intestine",Q418
"Congenital absence, atresia and stenosis of small intestine, part unspecified",Q419
"Congenital absence, atresia and stenosis of rectum with fistula",Q420
"Congenital absence, atresia and stenosis of rectum without fistula",Q421
"Congenital absence, atresia and stenosis of anus with fistula",Q422
"Congenital absence, atresia and stenosis of anus without fistula",Q423
"Congenital absence, atresia and stenosis of other parts of large intestine",Q428
"Congenital absence, atresia and stenosis of large intestine, part unspecified",Q429
Meckel's diverticulum (displaced) (hypertrophic),Q430
Hirschsprung's disease,Q431
Other congenital functional disorders of colon,Q432
Congenital malformations of intestinal fixation,Q433
Duplication of intestine,Q434
Ectopic anus,Q435
Congenital fistula of rectum and anus,Q436
Persistent cloaca,Q437
Other specified congenital malformations of intestine,Q438
"Congenital malformation of intestine, unspecified",Q439
"Agenesis, aplasia and hypoplasia of gallbladder",Q440
Other congenital malformations of gallbladder,Q441
Atresia of bile ducts,Q442
Congenital stenosis and stricture of bile ducts,Q443
Choledochal cyst,Q444
Other congenital malformations of bile ducts,Q445
Cystic disease of liver,Q446
Other congenital malformations of liver,Q447
"Agenesis, aplasia and hypoplasia of pancreas",Q450
Annular pancreas,Q451
Congenital pancreatic cyst,Q452
Other congenital malformations of pancreas and pancreatic duct,Q453
Other specified congenital malformations of digestive system,Q458
"Congenital malformation of digestive system, unspecified",Q459
"Congenital absence of ovary, unilateral",Q500
"Congenital absence of ovary, bilateral",Q500
Developmental ovarian cyst,Q501
Congenital torsion of ovary,Q502
Accessory ovary,Q503
Ovarian streak,Q503
Other congenital malformation of ovary,Q503
Embryonic cyst of fallopian tube,Q504
